id:ID,names,size:int,labels:LABEL,rho:double
sensory_peripheral_neuropathy,sensory peripheral neuropathy,50,disease,0.505079368
peristromal_region_viral_factory,peristromal region viral factory,2796,cellular component,0.5
thalidomide,thalidomide,5155,drug,0.5001660585756385
lenalidomide,lenalidomide,9019,drug,0.5
cell_population_proliferation,cell population proliferation,10490,biological process,0.5005551251680767
GSK3B,GSK3B,62,gene:protein,0.6369402534615384
SNHG16,SNHG16,270,gene,0.5110294176470588
LINC00689,LINC00689,38,gene,0.5
execution_phase_of_apoptosis,execution phase of apoptosis,42431,biological process,0.5
PLK4,PLK4,670,gene:protein,0.6226703021052632
SNHG15,SNHG15,98,gene,0.5
GC,GC,5924,gene:protein,0.5564757588450703
MIR338,MIR338,22,gene,0.5
renal_cell_carcinoma,renal cell carcinoma,1848,disease,0.2918387834178673
lung,lung,19595,enzyme source,0.3339638988490889
CTNNB1,CTNNB1,914,gene:protein,0.5375499246666667
SNHG1,SNHG1,83,gene,0.5109267035
colorectal_cancer_cell,colorectal cancer cell,520,enzyme source,0.5007233799999999
intron,intron,902,other,0.5
epithelial_to_mesenchymal_transition,epithelial to mesenchymal transition,10865,biological process,0.510997322096525
RAB14,RAB14,29,gene:protein,0.5987871825
stem,stem,13761,enzyme source,0.2767422584799074
cisplatin,cisplatin,6038,drug,0.5013634918538813
FAM126A,FAM126A,4128,gene:protein,0.1427612274044776
neuroblastoma_cell,neuroblastoma cell,160,enzyme source,0.2613636363636363
NBL1,NBL1,1157,gene:protein,0.2255841457894736
NEAT1,NEAT1,1765,gene,0.5122369602830189
CREBRF,CREBRF,1,gene:protein,0.58866304
OIP5-AS1,OIP5-AS1,377,gene,0.502083335
esophageal_squamous_cell_carcinoma_cell,esophageal squamous cell carcinoma cell,249,enzyme source,0.500609756097561
NRP1,NRP1,489,gene:protein,0.629300516122449
PTEN,PTEN,7538,gene:protein,0.6125824307381771
AKT1,AKT1,12183,gene:protein,0.6213634517256651
CDH1,CDH1,1792,gene:protein,0.623444359728601
KIFC1,KIFC1,74,gene:protein,0.5667640860000001
NDUFB6,NDUFB6,22803,gene:protein,0.5881294396636594
RTEL1,RTEL1,2627,gene:protein,0.5628422784602367
secondary_progressive_multiple_sclerosis,secondary progressive multiple sclerosis,136,disease,0.514563854
B-cell_lymphoma,B-cell lymphoma,4008,disease,0.5334940080999987
Hodgkin_s_lymphoma,Hodgkin s lymphoma,1740,disease,0.3445522426285711
ear,ear,426,enzyme source,0.5
orbit,orbit,100,enzyme source,0.5
conjunctiva,conjunctiva,66,enzyme source,0.5
plasma_cell,plasma cell,2228,enzyme source,0.5003189359840727
mantle_cell_lymphoma,mantle cell lymphoma,435,disease,0.5
CLEC4D,CLEC4D,2063,gene:protein,0.5298322073901806
skin,skin,6741,enzyme source,0.5
CLL/SLL,CLL/SLL,123,disease,0.5148184740816327
eye,eye,1101,enzyme source,0.2001592356687909
follicular_lymphoma,follicular lymphoma,607,disease,0.5
Levothyroxine,Levothyroxine,2009,drug,0.5207524093467337
ST6GAL1,ST6GAL1,182,gene:protein,0.5682896827272728
epidermal_growth_factor-activated_receptor_activity,epidermal growth factor-activated receptor activity,17184,molecular function,0.6288209268902143
Gefitinib,Gefitinib,119,drug,0.5
extracellular_region,extracellular region,7642,cellular component,0.496495886349432
CD274,CD274,22195,gene:protein,0.6354894780794702
gefitinib,gefitinib,1019,drug,0.5
thyroid_gland,thyroid gland,3111,enzyme source,0.1576262152255623
cetuximab,cetuximab,663,drug,0.5
5-Fluorouracil,5-Fluorouracil,51,other,0.5334534943749999
PTK2,PTK2,2541,gene:protein,0.614995630327273
1-phosphatidylinositol-3-kinase_activity,1-phosphatidylinositol-3-kinase activity,12944,molecular function,0.5
cell_surface,cell surface,3478,cellular component,0.5000753346310738
MAP_kinase_activity,MAP kinase activity,12739,molecular function,0.5099076973774329
T3,T3,1196,other,0.5050752409210526
CCND1,CCND1,3656,gene:protein,0.6509971550592435
Ras,Ras,2231,other,0.5
PCNA,PCNA,1821,gene:protein,0.6405858077168946
IgG_immunoglobulin_complex,IgG immunoglobulin complex,7335,cellular component,0.5286608952089407
5-FU,5-FU,2271,other,0.5235109435048233
irinotecan,irinotecan,329,drug,0.5
Leucovorin,Leucovorin,235,drug,0.5173039146753248
Resveratrol,Resveratrol,2629,drug,0.5175163776241134
plasma_membrane,plasma membrane,842,cellular component,0.5005878760111317
catenin_complex,catenin complex,25,cellular component,0.5
MYC,MYC,14045,gene:protein,0.6232039083645656
Guanine,Guanine,316,drug,0.2680266239428564
transcription__DNA-templated,transcription DNA-templated,15922,biological process,0.2038281786830026
TP53,TP53,40764,gene:protein,0.4870590614541329
blood_plasma,blood plasma,19442,enzyme source,0.5
INS,INS,2657,gene:protein,0.1663446142915952
immunoglobulin_complex__circulating,immunoglobulin complex circulating,51658,cellular component,0.5000192159402984
Insulin_pork,Insulin pork,7,drug,0.524381
hypoglycemia,hypoglycemia,212,disease,0.5
human insulin,human insulin,45,other,0.5
blood,blood,22525,enzyme source,0.1410554264852306
Zinc,Zinc,2581,drug,0.4891890477112134
ng,ng,36425,other,0.5000112754825906
PCYT1A,PCYT1A,7558,gene:protein,0.152375537019608
pancreas,pancreas,623,enzyme source,0.5
serum,serum,41726,enzyme source,0.3333333400000512
IFNA1,IFNA1,24194,gene:protein,0.5967847084620725
chronic_leukemia,chronic leukemia,10545,disease,0.3345304392715297
CD4,CD4,22743,gene:protein,0.4712583040494958
T-lymphocyte,T-lymphocyte,27586,enzyme source,0.3818231107923583
NELFCD,NELFCD,3041,gene:protein,0.5328171874910396
PDCD1,PDCD1,8801,gene:protein,0.6413840052709368
immune_system,immune system,2212,enzyme source,0.5
GZMB,GZMB,414,gene:protein,0.6635375842073169
LAG3,LAG3,991,gene:protein,0.6594662966060603
B-lymphocyte,B-lymphocyte,9593,enzyme source,0.3501311505217797
actomyosin_contractile_ring,actomyosin contractile ring,15941,cellular component,0.5
antigen_processing_and_presentation,antigen processing and presentation,512,biological process,0.5031830872380952
lymph,lymph,2962,enzyme source,0.5
antigen_binding,antigen binding,3860,molecular function,0.4843402642375604
cyclic_nucleotide-gated_mechanosensitive_ion_channel_activity,cyclic nucleotide-gated mechanosensitive ion channel activity,14662,molecular function,0.5
developmental_process,developmental process,14553,biological process,0.5075695923432404
FOXP3,FOXP3,3181,gene:protein,0.6354554412811977
CRBN,CRBN,3618,gene:protein,0.6377381278111588
UFM1_ligase_activity,UFM1 ligase activity,3087,molecular function,0.5
IRF4,IRF4,3034,gene:protein,0.6640862421702128
JAK1,JAK1,1149,gene:protein,0.6681040647142856
JAK2,JAK2,3827,gene:protein,0.638120007056856
SPATA2,SPATA2,8342,gene:protein,0.57965610710145
CTLA4,CTLA4,3555,gene:protein,0.6160462521003959
Prostaglandin E2,Prostaglandin E2,44,other,0.5305510886206897
PGE2,PGE2,1321,other,0.5242911965417867
indole_2_3-dioxygenase_activity,indole 2 3-dioxygenase activity,981,molecular function,0.5
Filgrastim,Filgrastim,9739,drug,0.5040141776951673
T_cell_activation,T cell activation,1134,biological process,0.5079304295874588
CHI3L2,CHI3L2,2,gene:protein,0.5
plant-type_hypersensitive_response,plant-type hypersensitive response,17869,biological process,0.5786999492506208
DENND2D,DENND2D,1,gene:protein,0.6054765
CHIAP2,CHIAP2,1,gene,0.5
EPM2A,EPM2A,703,gene:protein,0.5
RNA-directed_DNA_polymerase_activity,RNA-directed DNA polymerase activity,4952,molecular function,0.3336422680074192
CD19,CD19,8495,gene:protein,0.5729317380188669
prednisone,prednisone,1853,drug,0.5
fludarabine,fludarabine,977,drug,0.500114836881029
cytotoxic_T-lymphocyte,cytotoxic T-lymphocyte,2083,enzyme source,0.5066789029720854
T_cell_migration,T cell migration,49,biological process,0.5038909733333334
leukocyte,leukocyte,1301,enzyme source,0.5043118916786224
lymphocyte,lymphocyte,120,enzyme source,0.1240461727254901
Bendamustine,Bendamustine,819,drug,0.5299265111797751
bone_marrow,bone marrow,31495,enzyme source,0.2000000000000287
marrow,marrow,27398,enzyme source,0.5
neuron_spine,neuron spine,952,cellular component,0.5
TNFSF8,TNFSF8,16,gene:protein,0.631445314
L-alanine:2-oxoglutarate_aminotransferase_activity,L-alanine:2-oxoglutarate aminotransferase activity,1885,molecular function,0.5467551786923079
TNFSF4,TNFSF4,99,gene:protein,0.6521449416666667
TNFRSF8,TNFRSF8,23,gene:protein,0.5834164872727273
SLC17A5,SLC17A5,3816,gene:protein,0.530280797653584
Chloroform,Chloroform,171,drug,0.5
HLA-DQB1,HLA-DQB1,6,gene:protein,0.6122844833333333
venous_blood,venous blood,186,enzyme source,0.5
endopeptidase_activity,endopeptidase activity,276,molecular function,0.5003367006060606
digestion,digestion,804,biological process,0.25
Huntington_s_disease,Huntington s disease,1714,disease,0.5028068370937501
Iron,Iron,9037,drug,0.2081507834853411
Hepcidin,Hepcidin,2381,enzyme,0.5
SLC40A1,SLC40A1,162,gene:protein,0.624078778
transient_myeloproliferative_syndrome,transient myeloproliferative syndrome,1864,disease,0.5
erythrocyte,erythrocyte,2728,enzyme source,0.4056174991304346
VEGFA,VEGFA,11812,gene:protein,0.6193567619916823
SETD2,SETD2,7574,gene:protein,0.5952263143432832
TNF,TNF,17196,gene:protein,0.6117087004529715
folate,folate,624,other,0.5060402494610778
PON1,PON1,884,gene:protein,0.5287196375862068
NCOA5,NCOA5,368,gene:protein,0.5735528848979592
TFRC,TFRC,847,gene:protein,0.6340808775590554
interleukin-1_receptor_binding,interleukin-1 receptor binding,6110,molecular function,0.5000332005577689
hemopoiesis,hemopoiesis,632,biological process,0.4955679792222223
IL6,IL6,22819,gene:protein,0.6055660044531538
liver,liver,14040,enzyme source,0.3333333400000055
EPOR,EPOR,484,gene:protein,0.5788227155882353
CSF2RB,CSF2RB,16,gene:protein,0.6230163471428571
pyruvate_dehydrogenase_(acetyl-transferring)_activity,pyruvate dehydrogenase (acetyl-transferring) activity,176,molecular function,0.5
Tocilizumab,Tocilizumab,1029,drug,0.5254200984888888
BMP6,BMP6,437,gene:protein,0.625041353
breast,breast,30530,enzyme source,0.5
EPO,EPO,1791,gene:protein,0.5772549194350283
tooth,tooth,751,anatomical entity:enzyme source,0.1999999999999995
alveolar_bone,alveolar bone,137,enzyme source,0.5
bone_remodeling,bone remodeling,346,biological process,0.5
mammary_Paget_s_disease,mammary Paget s disease,82,disease,0.5
osteoporosis,osteoporosis,2021,disease,0.1428571499999988
molaris,molaris,567,enzyme source,0.5
bone_resorption,bone resorption,1510,biological process,0.5
periodontal_ligament,periodontal ligament,131,enzyme source,0.5
milk,milk,1638,enzyme source,0.5
CD63,CD63,388,gene:protein,0.6387723328666672
jejunum,jejunum,47,enzyme source,0.5
BMI1,BMI1,3231,gene:protein,0.6248180307638886
LGR5,LGR5,743,gene:protein,0.6021097372972972
villus,villus,22,enzyme source,0.5
CLDN3,CLDN3,56,gene:protein,0.6149345583333333
intestinal_stem_cell,intestinal stem cell,18,enzyme source,0.5
stem_cell_proliferation,stem cell proliferation,76,biological process,0.2773177418367347
crypt,crypt,267,enzyme source,0.5
body,body,6663,anatomical entity,0.199999999999992
CD81,CD81,568,gene:protein,0.6438958945054946
OCLN,OCLN,157,gene:protein,0.6311523731249999
ileum,ileum,95,enzyme source,0.5
MICA,MICA,2684,gene:protein,0.6519424881304351
CLPP,CLPP,8,gene:protein,0.609748075
CD82,CD82,1494,gene:protein,0.3914418982335325
monoclonal_gammopathy_of_uncertain_significance,monoclonal gammopathy of uncertain significance,2825,disease,0.5238457446793348
DUOXA1,DUOXA1,5900,gene:protein,0.5179227192864752
PRRC2A,PRRC2A,2847,gene:protein,0.199780867710362
BAG6,BAG6,452,gene:protein,0.6569091234868423
pilus,pilus,66,cellular component,0.5044166384210527
pathogenesis,pathogenesis,1929,biological process,0.5008995166615854
biofilm,biofilm,467,enzyme source,0.5
kidney_disease,kidney disease,921,disease,0.5215575727857141
lymphoplasmacytic_lymphoma,lymphoplasmacytic lymphoma,76,disease,0.5
ALB,ALB,4350,gene:protein,0.6156567265118639
LPL,LPL,381,gene:protein,0.5694926761538462
intestine,intestine,1455,enzyme source,0.5014505902349486
plastoglobule,plastoglobule,4743,cellular component,0.3333333399999975
Magnesium,Magnesium,169,drug,0.541543201546392
cyst,cyst,612,enzyme source,0.5
Potassium,Potassium,660,drug,0.5260202065656564
A_band,A band,2609,cellular component,0.5001579779620854
parathyroid hormone,parathyroid hormone,290,other,0.5239297769182392
hypercalcemia,hypercalcemia,1773,disease,0.2001236743915358
S_phase,S phase,1002,biological process,0.5026122637383176
NEUROG3,NEUROG3,14,gene:protein,0.7411278649999999
DNA_replication,DNA replication,504,biological process,0.3603966235389617
Cisplatin,Cisplatin,372,drug,0.5073817269281046
TP53BP1,TP53BP1,375,gene:protein,0.6878589179310347
insulinoma_cell,insulinoma cell,5,enzyme source,0.5
insulin_secretion,insulin secretion,218,biological process,0.5
MMUT,MMUT,131,gene:protein,0.570164935
Ciprofloxacin,Ciprofloxacin,215,drug,0.6008064717073172
etoposide,etoposide,1901,drug,0.5
IAPP,IAPP,23,gene:protein,0.6097505066666667
dedifferentiation,dedifferentiation,145,biological process,0.2032928080263155
replication_fork,replication fork,49,cellular component,0.3333333399999998
M_phase,M phase,781,biological process,0.501136800025974
GCG,GCG,330,gene:protein,0.6168068829999999
SST,SST,128,gene:protein,0.5662602290476192
DNA-binding_transcription_factor_activity__RNA_polymerase_II-specific,DNA-binding transcription factor activity RNA polymerase II-specific,4469,molecular function,0.5
DNA_topoisomerase_type_II_(double_strand_cut__ATP-hydrolyzing)_activity,DNA topoisomerase type II (double strand cut ATP-hydrolyzing) activity,447,molecular function,0.5
CDKN2B,CDKN2B,249,gene:protein,0.6691683593442621
SIX2,SIX2,200,gene:protein,0.6286435142857142
SLC2A1,SLC2A1,52,gene:protein,0.6809264746666667
MIF,MIF,1823,gene:protein,0.6516924561538459
MAFA,MAFA,62,gene:protein,0.6486616263636363
NKX6-1,NKX6-1,3,gene:protein,0.6437985933333333
ST3GAL4,ST3GAL4,151,gene:protein,0.5196920269767442
IGF1,IGF1,3638,gene:protein,0.6047488508995812
osteoclast,osteoclast,4384,enzyme source,0.5
femur,femur,788,enzyme source,0.5
SCYL1,SCYL1,163,gene:protein,0.6009466740425532
osteoblast,osteoblast,1423,anatomical entity:enzyme source,0.5
TRRAP,TRRAP,1157,gene:protein,0.583196574466403
TNFSF11,TNFSF11,8532,gene:protein,0.5970915659199006
growth_hormone_receptor_binding,growth hormone receptor binding,67,molecular function,0.5
KRT8,KRT8,4397,gene:protein,0.6264655592917369
dendritic_spine_neck,dendritic spine neck,2132,cellular component,0.5000955032416503
biosynthetic_process,biosynthetic process,18994,biological process,0.5060861979062762
STAT1,STAT1,5501,gene:protein,0.6652137630786027
JAK3,JAK3,521,gene:protein,0.6483113028125002
CSF1,CSF1,1101,gene:protein,0.6168221179432625
Erythropoietin,Erythropoietin,766,drug,0.514097297195122
Baricitinib,Baricitinib,30,drug,0.5294870957142856
epiphyseal_growth_plate,epiphyseal growth plate,60,enzyme source,0.5023809533333333
brain,brain,6685,enzyme source,0.0999999999999963
DMD,DMD,3801,gene:protein,0.5684692763824288
osteoclast_differentiation,osteoclast differentiation,533,biological process,0.5
ABCG2,ABCG2,2181,gene:protein,0.6197166309795916
BEND3,BEND3,46,gene:protein,0.5499085128571428
SYCE1L,SYCE1L,103,gene:protein,0.5
ABCB1,ABCB1,3848,gene:protein,0.6034232118367348
Tunicamycin,Tunicamycin,187,drug,0.5
ABC-type_xenobiotic_transporter_activity,ABC-type xenobiotic transporter activity,453,molecular function,0.502066677107843
Bortezomib,Bortezomib,1401,drug,0.5
UBA1,UBA1,549,gene:protein,0.6092261689655174
SNORA73A,SNORA73A,1290,gene,0.5001118068895349
H2AX,H2AX,1946,gene:protein,0.6393153341071429
reticulum,reticulum,1152,enzyme source,0.5
acute_lymphoblastic_leukemia_cell,acute lymphoblastic leukemia cell,646,enzyme source,0.4982586736038187
basal_cell,basal cell,176,enzyme source,0.5
mitoxantrone,mitoxantrone,352,drug,0.5
TIMM8A,TIMM8A,2320,gene:protein,0.5790955937450197
SHB,SHB,6,gene:protein,0.6141482875
glycerate_kinase_activity,glycerate kinase activity,70,molecular function,0.5908352759999999
column,column,3807,enzyme source,0.5
Ginseng,Ginseng,237,drug,0.5
TSKU,TSKU,18,gene:protein,0.5
AP5Z1,AP5Z1,152,gene:protein,0.6124690753333333
Aminohippuric_acid,Aminohippuric acid,8665,drug,0.5174919089890987
MSMP,MSMP,1291,gene:protein,0.5330556813259665
SPACA9,SPACA9,67,gene:protein,0.5488192355555556
prepulse_inhibition,prepulse inhibition,1180,biological process,0.5
lytic_vacuole,lytic vacuole,2,cellular component,0.108405374
GO:0005764,GO:0005764,3,other,0.527242
RGS4,RGS4,104,gene:protein,0.608124482
PTBP2,PTBP2,344,gene:protein,0.5283355774999999
CD209,CD209,174,gene:protein,0.6497530680487803
CD34,CD34,10127,gene:protein,0.6010899891747146
viral_nucleocapsid,viral nucleocapsid,4336,cellular component,0.5002732373333334
MYOZ2,MYOZ2,229,gene:protein,0.5558682575862067
IL3RA,IL3RA,985,gene:protein,0.5786665400704228
CD22,CD22,996,gene:protein,0.6245650649677417
CST8,CST8,101,gene:protein,0.5088023384615384
B-lymphoblastic_leukemia/lymphoma,B-lymphoblastic leukemia/lymphoma,895,disease,0.5163695223741007
TNFRSF13B,TNFRSF13B,691,gene:protein,0.5796764367777776
chronic_lymphocytic_leukemia,chronic lymphocytic leukemia,1067,disease,0.1827192639166658
CD79B,CD79B,376,gene:protein,0.6669494515384617
CARTPT,CARTPT,776,gene:protein,0.5390142776470587
mRNA_cis_splicing__via_spliceosome,mRNA cis splicing via spliceosome,3863,biological process,0.5
transduction,transduction,2799,biological process,0.5
acute_lymphoblastic_leukemia_cell_line,acute lymphoblastic leukemia cell line,15,enzyme source,0.5
CD33,CD33,1990,gene:protein,0.63946310329932
brain_disease,brain disease,184,disease,0.5141110361445782
SLC7A4,SLC7A4,1535,gene:protein,0.5284253912000002
MLC1,MLC1,1280,gene:protein,0.6043650827372263
HAVCR2,HAVCR2,2409,gene:protein,0.6240594977734377
T-cell_adult_acute_lymphocytic_leukemia,T-cell adult acute lymphocytic leukemia,213,disease,0.5
CD28,CD28,3803,gene:protein,0.6503638470694867
CCR4,CCR4,341,gene:protein,0.6358691654545454
T_cell_receptor_complex,T cell receptor complex,14003,cellular component,0.5000325118934911
adult_T-cell_leukemia,adult T-cell leukemia,104,disease,0.5
NOS2,NOS2,1709,gene:protein,0.6349116709821426
peripheral_T-cell_lymphoma,peripheral T-cell lymphoma,183,disease,0.1708157277868854
HBZ,HBZ,594,gene:protein,0.5281422984615385
BATF3,BATF3,73,gene:protein,0.6047481460000002
PRKCB,PRKCB,47,gene:protein,0.7008859855555555
NFASC,NFASC,7271,gene:protein,0.1311132706435826
CD58,CD58,37,gene:protein,0.6655962154545455
DNA_hypermethylation,DNA hypermethylation,130,biological process,0.5
IRF2BP2,IRF2BP2,6,gene:protein,0.5958258649999999
CARD11,CARD11,188,gene:protein,0.6646248016216216
ICOS,ICOS,442,gene:protein,0.6552885268421055
CD80,CD80,1240,gene:protein,0.6669642709470754
lymph_node,lymph node,5061,enzyme source,0.1255850485538116
node,node,5403,enzyme source,0.3333333399999995
peripheral_blood,peripheral blood,4162,enzyme source,0.5
PDGFRA,PDGFRA,196,gene:protein,0.6607167268115941
Avapritinib,Avapritinib,50,drug,0.51359866
clathrin-dependent_endocytosis,clathrin-dependent endocytosis,205,biological process,0.4751037094029851
stem_cell_factor_receptor_activity,stem cell factor receptor activity,16563,molecular function,0.6023237713108263
ethanolamine-phosphate_cytidylyltransferase_activity,ethanolamine-phosphate cytidylyltransferase activity,507,molecular function,0.5
GDF15,GDF15,1764,gene:protein,0.6345853841935486
seed,seed,1187,enzyme source,0.5
Ethanol,Ethanol,2632,drug,0.382899699865772
inflammatory_response,inflammatory response,7961,biological process,0.5035456320657268
colon,colon,3984,enzyme source,0.5
ROS1,ROS1,11280,gene:protein,0.5432010827358488
mitochondrial_membrane,mitochondrial membrane,480,cellular component,0.3333333399999997
NFE2L2,NFE2L2,7913,gene:protein,0.6336239935425102
mitochondrion,mitochondrion,3953,cellular component,0.3362719482626295
DMSO,DMSO,2695,other,0.5117824965290805
spleen,spleen,2904,enzyme source,0.5
chronic_obstructive_pulmonary_disease,chronic obstructive pulmonary disease,2872,disease,0.3556884765146605
necrotic_cell_death,necrotic cell death,4253,biological process,0.5002912854108774
Cholesterol,Cholesterol,3143,drug,0.340691641735535
cholesterol_biosynthetic_process,cholesterol biosynthetic process,100,biological process,0.5112105156896551
prostate_gland,prostate gland,9454,enzyme source,0.5
TG,TG,760,gene:protein,0.5015289450980392
gastric_cancer_cell,gastric cancer cell,241,enzyme source,0.5
leukemia,leukemia,265,disease,0.1237257047272726
bile,bile,629,enzyme source,0.2346153846153841
chylomicron_remnant,chylomicron remnant,1,cellular component,0.5
bile_acid_biosynthetic_process,bile acid biosynthetic process,13,biological process,0.5
cholesterol_import,cholesterol import,15,biological process,0.5
LDLR,LDLR,393,gene:protein,0.5996716558536586
cholesterol_metabolic_process,cholesterol metabolic process,5,biological process,0.5326088200000001
FLT1,FLT1,773,gene:protein,0.642830907797619
FOLH1,FOLH1,921,gene:protein,0.5558358185156249
MIP,MIP,227,gene:protein,0.5461609603508771
PSAT1,PSAT1,2016,gene:protein,0.6096955819877674
BCR,BCR,4029,gene:protein,0.5855877004387571
prostate_cancer,prostate cancer,20,disease,0.5051313315789474
needle,needle,1575,enzyme source,0.5
Fanconi_anemia_complementation_group_E,Fanconi anemia complementation group E,549,disease,0.5351085361048689
head,head,1980,anatomical entity:enzyme source,0.25
IL15,IL15,2601,gene:protein,0.6477953843850274
IL2,IL2,4469,gene:protein,0.6181906195845143
natural_killer_cell_activation,natural killer cell activation,193,biological process,0.4874936777499999
natural_killer_cell,natural killer cell,7210,enzyme source,0.500528062703583
PRF1,PRF1,1422,gene:protein,0.6401158315624994
GZMA,GZMA,127,gene:protein,0.6373678997000002
Daratumumab,Daratumumab,375,drug,0.5
carfilzomib,carfilzomib,2043,drug,0.5
GEM,GEM,1654,gene:protein,0.6185785888888886
diffuse_large_B-cell_lymphoma,diffuse large B-cell lymphoma,239,disease,0.2905223507407405
pheochromocytoma,pheochromocytoma,147,disease,0.5014204545454546
malignant_pheochromocytoma,malignant pheochromocytoma,1,disease,0.26076296
CYLD,CYLD,1828,gene:protein,0.6188507418867926
BTK,BTK,2551,gene:protein,0.6319154572183096
Rituximab,Rituximab,5170,drug,0.5219462209566184
ibrutinib,ibrutinib,1933,drug,0.5
thiol-dependent_ubiquitin-specific_protease_activity,thiol-dependent ubiquitin-specific protease activity,231,molecular function,0.5042277387218046
RELA,RELA,3726,gene:protein,0.651919354358553
salivary_gland_adenoid_cystic_carcinoma,salivary gland adenoid cystic carcinoma,8,disease,0.5
B-lymphocyte_cell_line,B-lymphocyte cell line,55,enzyme source,0.4868667943902439
EPB42,EPB42,2059,gene:protein,0.5186198933128833
EGR1,EGR1,1129,gene:protein,0.6425021529473685
SNAI1,SNAI1,757,gene:protein,0.659699061646342
SLC12A9,SLC12A9,248,gene:protein,0.52080259
regulation_of_cell_cycle,regulation of cell cycle,3520,biological process,0.505887648430973
HIF1A,HIF1A,6606,gene:protein,0.6176240980991734
BRCA1,BRCA1,2650,gene:protein,0.6453753490954776
hepatocellular_carcinoma,hepatocellular carcinoma,1678,disease,0.1787698075388838
epidermal_growth_factor_receptor_binding,epidermal growth factor receptor binding,1380,molecular function,0.493113797230514
stomach_cancer,stomach cancer,2116,disease,0.5035938621423025
angiogenesis,angiogenesis,6836,biological process,0.1141323627201715
mitogen_activated_protein_kinase_signaling_pathway,mitogen activated protein kinase signaling pathway,49,pathway,0.5
TCEAL1,TCEAL1,3847,gene:protein,0.5158856872830186
mitotic_nuclear_division,mitotic nuclear division,834,biological process,0.5
tumor_necrosis_factor_receptor_binding,tumor necrosis factor receptor binding,2664,molecular function,0.1999999999999947
S100A4,S100A4,767,gene:protein,0.6285609451219513
lymphangiogenesis,lymphangiogenesis,244,biological process,0.5
DNA_repair,DNA repair,1342,biological process,0.5133970911111114
OXT,OXT,26,gene:protein,0.5669582084615384
head_and_neck_squamous_cell_carcinoma,head and neck squamous cell carcinoma,164,disease,0.5
fibrosarcoma,fibrosarcoma,268,disease,0.1252588749390244
TMEM8B,TMEM8B,2,gene:protein,0.57666841
Adenosine,Adenosine,117,drug,0.5028176966666666
mesenchymal_cell,mesenchymal cell,5526,anatomical entity:enzyme source,0.5761078083941606
OXER1,OXER1,329,gene:protein,0.5513812745535713
pulmonary_edema,pulmonary edema,58,disease,0.5
heart,heart,3694,enzyme source,0.5
glucose_homeostasis,glucose homeostasis,170,biological process,0.3333333399999995
SMURF2,SMURF2,213,gene:protein,0.6751193965517241
SMAD7,SMAD7,533,gene:protein,0.6464593357575759
SMAD2,SMAD2,805,gene:protein,0.6386016851612903
naive_T-lymphocyte,naive T-lymphocyte,83,enzyme source,0.5009090912
SMAD4,SMAD4,646,gene:protein,0.63636491557971
T_cell_differentiation,T cell differentiation,217,biological process,0.5085602358333333
paclitaxel,paclitaxel,2539,drug,0.5021727052139461
ATF1,ATF1,33,gene:protein,0.64512855875
TBX21,TBX21,423,gene:protein,0.6261786064341083
TGFBR2,TGFBR2,117,gene:protein,0.6333247365625
cytokine_production,cytokine production,296,biological process,0.506310617360406
Taxol,Taxol,282,other,0.5228383489795918
